EWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
266,2.61E-182,2.12E-95,3.25E-177,2.53E-93,0.258477042,0,0.000487269,-12564.45004,0.00E+00,4.44E-16,0,1.32E-03,0.022766262,2.444691638,0.005609772,-1.031582254,0.398103944,6.303452416,-3.752338054,-2.794821684,-9.792445275,-10.05057095,-10.1869804
267,2.61E-182,1.04E-95,1.14E-177,4.41E-94,0.258476995,0,0.000487269,-12564.45004,0.00E+00,4.44E-16,0,1.32E-03,0.022760339,2.44444832,0.005608086,-1.031582411,0.398103053,6.303452382,-3.752338385,-2.795070435,-9.7924687,-10.05061244,-10.18884235
268,1.04E-183,5.15E-96,5.59E-180,4.41E-94,0.25845097,0,0.000477134,-12564.45004,0.00E+00,4.44E-16,0,1.31E-03,0.022756267,2.443653148,0.005586943,-1.031582582,0.398103036,6.303448717,-3.752344593,-2.795121951,-9.792475078,-10.05088994,-10.18884897
269,6.87E-185,3.52E-97,8.63E-181,1.28E-94,0.258115788,0,0.000477134,-12564.45004,0.00E+00,4.44E-16,0,1.31E-03,0.022735073,2.443534438,0.005577343,-1.031583294,0.39810261,6.303448714,-3.752344692,-2.795251887,-9.792715878,-10.05111163,-10.18884911
270,4.42E-185,1.46E-97,1.81E-181,8.60E-95,0.255318995,0,0.000477134,-12564.45004,0.00E+00,4.44E-16,0,1.31E-03,0.022720054,2.443534438,0.005577271,-1.031584194,0.398100612,6.30344491,-3.752346534,-2.795282538,-9.800215211,-10.0511118,-10.19369969
271,3.90E-186,2.38E-98,1.81E-181,1.55E-95,0.255318963,0,0.000477134,-12564.4503,0.00E+00,4.44E-16,0,1.30E-03,0.022704364,2.443532139,0.00556765,-1.031584326,0.398100282,6.303444502,-3.752346685,-2.795498551,-9.80021585,-10.05121246,-10.19395115
272,3.90E-186,1.85E-98,7.20E-183,8.62E-96,0.255317913,0,0.000477134,-12564.4503,0.00E+00,4.44E-16,0,1.30E-03,0.022704024,2.443532139,0.005567622,-1.031584326,0.39809732,6.303444494,-3.752346737,-2.796222073,-9.831871082,-10.08332854,-10.19431438
273,2.95E-187,1.59E-98,4.54E-183,1.35E-97,0.252830478,0,0.000453361,-12564.4503,0.00E+00,4.44E-16,0,1.29E-03,0.022703111,2.443490867,0.005567616,-1.031584371,0.398095818,6.303444434,-3.752387814,-2.796497768,-9.85435141,-10.08337028,-10.19661592
274,4.78E-190,9.32E-99,2.04E-183,1.33E-97,0.252828635,0,0.000453361,-12564.4503,0.00E+00,4.44E-16,0,1.29E-03,0.022701897,2.443442875,0.005567615,-1.031584373,0.3980947,6.303442912,-3.752466846,-2.796874001,-9.855017639,-10.08359879,-10.19661599
275,4.78E-190,9.37E-100,3.12E-184,9.78E-100,0.252828558,0,0.000453361,-12564.45078,0.00E+00,4.44E-16,0,1.29E-03,0.02268619,2.443439928,0.005567589,-1.031584725,0.398094683,6.303442863,-3.752475359,-2.797018089,-9.855017709,-10.08359879,-10.19662501
